2024 National Employment Matrix title,2024 National Employment Matrix code,Occupation type,"Employment, 2024","Employment, 2034","Employment change, numeric, 2024–34","Employment change, percent, 2024–34","Labor force exit rate, 2024–34 annual average","Occupational transfer rate, 2024–34 annual average","Total occupational separations rate, 2024–34 annual average","Labor force exits, 2024–34 annual average","Occupational transfers, 2024–34 annual average","Total occupational separations, 2024–34 annual average","Occupational openings, 2024–34 annual average",
        Clinical and counseling psychologists,'19-3033,Line item,76.3,84.8,8.5,11.2,2.7,2.2,4.9,2.2,1.8,3.9,4.8,
        School psychologists,'19-3034,Line item,67.2,67.7,0.5,0.7,2.2,3.4,5.6,1.5,2.3,3.8,3.8,
"        Psychologists, all other",'19-3039,Line item,55.3,57.7,2.4,4.3,3.7,2.7,6.4,2.1,1.5,3.6,3.9,
      Sociologists,'19-3041,Line item,3.4,3.6,0.1,3.6,2.0,6.2,8.2,0.1,0.2,0.3,0.3,
      Urban and regional planners,'19-3051,Line item,44.7,46.2,1.5,3.4,1.8,5.3,7.1,0.8,2.4,3.3,3.4,
      Miscellaneous social scientists and related workers,'19-3090,Summary,61.0,60.5,-0.5,-0.9,2.0,6.2,8.2,1.2,3.7,5.0,4.9,
        Anthropologists and archeologists,'19-3091,Line item,8.8,9.2,0.3,3.7,2.0,6.2,8.2,0.2,0.6,0.7,0.8,
        Geographers,'19-3092,Line item,1.5,1.5,0.0,-3.1,2.0,6.2,8.2,0.0,0.1,0.1,0.1,
        Historians,'19-3093,Line item,3.4,3.5,0.1,2.2,2.0,6.2,8.2,0.1,0.2,0.3,0.3,
        Political scientists,'19-3094,Line item,6.5,6.3,-0.2,-3.1,2.0,6.2,8.2,0.1,0.4,0.5,0.5,
"        Social scientists and related workers, all other",'19-3099,Line item,40.8,40.1,-0.7,-1.7,2.0,6.2,8.2,0.8,2.5,3.3,3.2,
"    Life, physical, and social science technicians",'19-4000,Summary,416.2,430.5,14.3,3.4,2.2,9.9,12.1,9.1,42.1,51.2,52.6,
      Agricultural and food science technicians,'19-4010,Summary,38.9,40.7,1.8,4.6,2.1,12.8,14.9,0.8,5.1,5.9,6.1,
        Agricultural technicians,'19-4012,Line item,18.6,19.4,0.8,4.3,2.1,12.8,14.9,0.4,2.4,2.8,2.9,
        Food science technicians,'19-4013,Line item,20.4,21.3,1.0,4.8,2.1,12.8,14.9,0.4,2.7,3.1,3.2,
      Biological technicians,'19-4021,Line item,82.7,85.6,2.9,3.5,2.0,8.4,10.4,1.7,7.1,8.8,9.1,
      Chemical technicians,'19-4031,Line item,57.0,59.0,2.1,3.7,1.8,9.4,11.3,1.1,5.5,6.5,6.7,
      Environmental science and geoscience technicians,'19-4040,Summary,53.4,55.1,1.7,3.2,2.2,11.0,13.2,1.2,5.9,7.1,7.3,
"        Environmental science and protection technicians, including health",'19-4042,Line item,40.4,42.1,1.6,4.0,2.2,11.0,13.2,0.9,4.5,5.4,5.6,
"        Geological technicians, except hydrologic technicians",'19-4043,Line item,9.8,10.0,0.1,1.5,2.2,11.0,13.2,0.2,1.1,1.3,1.3,
        Hydrologic technicians,'19-4044,Line item,3.1,3.0,-0.1,-2.1,2.2,11.0,13.2,0.1,0.3,0.4,0.4,
      Nuclear technicians,'19-4051,Line item,6.0,5.5,-0.5,-7.7,2.2,11.0,13.2,0.1,0.6,0.8,0.7,
      Social science research assistants,'19-4061,Line item,40.6,42.3,1.8,4.4,2.3,9.8,12.2,1.0,4.1,5.0,5.2,
      Forest and conservation technicians,'19-4071,Line item,33.8,32.7,-1.1,-3.2,2.3,9.8,12.2,0.8,3.3,4.0,3.9,
"      Miscellaneous life, physical, and social science technicians",'19-4090,Summary,103.9,109.5,5.6,5.4,2.3,9.8,12.2,2.5,10.5,13.0,13.5,
        Forensic science technicians,'19-4092,Line item,20.7,23.3,2.6,12.8,2.3,9.8,12.2,0.5,2.2,2.7,2.9,
"        Life, physical, and social science technicians, all other",'19-4099,Line item,83.2,86.2,2.9,3.5,2.3,9.8,12.2,2.0,8.3,10.3,10.6,
    Occupational health and safety specialists and technicians,'19-5000,Summary,163.7,183.0,19.2,11.7,1.9,7.6,9.4,3.2,13.2,16.4,18.3,
      Occupational health and safety specialists,'19-5011,Line item,131.9,148.4,16.5,12.5,1.9,7.6,9.4,2.6,10.6,13.2,14.9,
      Occupational health and safety technicians,'19-5012,Line item,31.9,34.6,2.7,8.5,1.9,7.6,9.4,0.6,2.5,3.1,3.4,
  Community and social service occupations,'21-0000,Summary,"3,196.9","3,409.2",212.3,6.6,4.0,4.8,8.9,133.0,159.5,292.5,313.7,
"    Counselors, social workers, and other community and social service specialists",'21-1000,Summary,"2,707.5","2,913.8",206.3,7.6,3.9,4.8,8.7,108.8,136.3,245.1,265.8,
      Counselors,'21-1010,Summary,"1,098.6","1,212.8",114.2,10.4,3.6,4.5,8.0,41.5,51.5,93.0,104.4,
"        Educational, guidance, and career counselors and advisors",'21-1012,Line item,376.3,389.6,13.3,3.5,3.3,4.4,7.7,12.8,16.8,29.6,31.0,
        Marriage and family therapists,'21-1013,Line item,77.8,87.7,9.8,12.6,4.4,3.7,8.1,3.7,3.0,6.7,7.7,
        Rehabilitation counselors,'21-1015,Line item,91.9,93.2,1.3,1.4,5.3,5.4,10.6,4.9,5.0,9.8,10.0,
"        Substance abuse, behavioral disorder, and mental health counselors",'21-1018,Line item,483.5,564.6,81.0,16.8,3.3,4.4,7.7,17.2,23.0,40.2,48.3,
"        Counselors, all other",'21-1019,Line item,69.1,77.8,8.7,12.6,3.9,5.0,9.0,2.9,3.7,6.6,7.4,
      Social workers,'21-1020,Summary,810.9,855.6,44.7,5.5,3.9,4.5,8.3,32.4,37.1,69.5,74.0,
"        Child, family, and school social workers",'21-1021,Line item,399.9,413.3,13.4,3.4,3.8,4.5,8.3,15.5,18.2,33.7,35.1,
        Healthcare social workers,'21-1022,Line item,193.2,208.1,14.8,7.7,3.7,4.8,8.4,7.3,9.6,17.0,18.4,
        Mental health and substance abuse social workers,'21-1023,Line item,136.8,150.1,13.3,9.7,4.7,3.8,8.5,6.8,5.4,12.2,13.5,
"        Social workers, all other",'21-1029,Line item,81.0,84.1,3.1,3.9,3.3,4.7,8.1,2.7,3.9,6.6,7.0,
      Miscellaneous community and social service specialists,'21-1090,Summary,798.0,845.4,47.4,5.9,4.3,5.8,10.1,35.0,47.7,82.7,87.4,
        Health education specialists,'21-1091,Line item,71.8,75.0,3.2,4.5,4.6,5.8,10.3,3.4,4.2,7.6,7.9,
        Probation officers and correctional treatment specialists,'21-1092,Line item,92.3,94.8,2.4,2.6,2.9,5.3,8.2,2.7,5.0,7.7,7.9,
        Social and human service assistants,'21-1093,Line item,449.6,478.5,28.9,6.4,4.3,5.9,10.3,20.2,27.5,47.7,50.6,
        Community health workers,'21-1094,Line item,65.1,72.5,7.4,11.3,4.6,5.8,10.3,3.2,4.0,7.1,7.8,
"        Community and social service specialists, all other",'21-1099,Line item,119.2,124.7,5.5,4.6,4.6,5.8,10.3,5.6,7.0,12.6,13.1,
    Religious workers,'21-2000,Summary,489.4,495.4,6.0,1.2,4.9,4.7,9.6,24.2,23.2,47.3,47.9,
      Clergy,'21-2011,Line item,262.0,264.6,2.6,1.0,4.5,4.1,8.6,11.9,10.8,22.7,23.0,
"      Directors, religious activities and education",'21-2021,Line item,138.9,141.8,2.9,2.1,4.5,5.2,9.7,6.3,7.3,13.6,13.8,
"      Religious workers, all other",'21-2099,Line item,88.4,89.0,0.6,0.6,6.7,5.7,12.5,6.0,5.1,11.1,11.1,
  Legal occupations,'23-0000,Summary,"1,418.2","1,456.5",38.3,2.7,2.2,3.3,5.6,32.3,47.6,80.0,83.8,
"    Lawyers, judges, and related workers",'23-1000,Summary,933.2,970.4,37.2,4.0,1.8,1.4,3.2,17.0,13.6,30.6,34.4,
      Lawyers and judicial law clerks,'23-1010,Summary,879.3,915.5,36.2,4.1,1.8,1.4,3.2,16.0,12.9,28.9,32.5,
        Lawyers,'23-1011,Line item,864.8,900.7,35.9,4.1,1.8,1.4,3.2,15.7,12.2,27.9,31.5,
        Judicial law clerks,'23-1012,Line item,14.5,14.9,0.4,2.5,2.4,4.4,6.8,0.4,0.6,1.0,1.0,
"      Judges, magistrates, and other judicial workers",'23-1020,Summary,53.9,54.9,0.9,1.8,1.8,1.4,3.2,1.0,0.8,1.7,1.8,
"        Administrative law judges, adjudicators, and hearing officers",'23-1021,Line item,17.5,17.4,-0.1,-0.7,1.8,1.4,3.2,0.3,0.2,0.6,0.5,
"        Arbitrators, mediators, and conciliators",'23-1022,Line item,9.1,9.5,0.4,4.3,1.8,1.4,3.2,0.2,0.1,0.3,0.3,
"        Judges, magistrate judges, and magistrates",'23-1023,Line item,27.3,28.0,0.7,2.5,1.8,1.4,3.2,0.5,0.4,0.9,0.9,
    Legal support workers,'23-2000,Summary,484.9,486.1,1.1,0.2,3.2,7.0,10.2,15.3,34.0,49.3,49.4,
      Paralegals and legal assistants,'23-2011,Line item,376.2,376.8,0.6,0.2,3.2,7.2,10.4,12.0,27.2,39.2,39.3,
      Miscellaneous legal support workers,'23-2090,Summary,108.7,109.3,0.5,0.5,3.1,6.2,9.3,3.4,6.8,10.1,10.2,
"        Title examiners, abstractors, and searchers",'23-2093,Line item,57.4,58.5,1.1,2.0,3.0,6.2,9.2,1.7,3.6,5.3,5.4,
"        Legal support workers, all other",'23-2099,Line item,51.3,50.7,-0.6,-1.2,3.2,6.2,9.4,1.6,3.2,4.8,4.7,
  Educational instruction and library occupations,'25-0000,Summary,"9,813.2","9,875.4",62.2,0.6,4.5,4.5,9.0,439.8,444.3,884.1,890.3,
    Postsecondary teachers,'25-1000,Summary,"1,721.2","1,822.1",100.9,5.9,3.9,3.2,7.1,68.9,57.4,126.3,136.4,
"      Business teachers, postsecondary",'25-1011,Line item,103.1,109.0,5.8,5.7,3.9,3.2,7.1,4.1,3.4,7.6,8.1,
"      Math and computer science teachers, postsecondary",'25-1020,Summary,103.7,107.4,3.7,3.6,3.9,3.2,7.1,4.1,3.4,7.5,7.9,
"        Computer science teachers, postsecondary",'25-1021,Line item,44.8,47.2,2.4,5.3,3.9,3.2,7.1,1.8,1.5,3.3,3.5,
"        Mathematical science teachers, postsecondary",'25-1022,Line item,58.9,60.2,1.3,2.3,3.9,3.2,7.1,2.3,1.9,4.2,4.4,
"      Engineering and architecture teachers, postsecondary",'25-1030,Summary,62.0,66.3,4.3,7.0,3.9,3.2,7.1,2.5,2.1,4.6,5.0,
"        Architecture teachers, postsecondary",'25-1031,Line item,11.6,11.9,0.2,2.0,3.9,3.2,7.1,0.5,0.4,0.8,0.9,
"        Engineering teachers, postsecondary",'25-1032,Line item,50.3,54.4,4.1,8.1,3.9,3.2,7.1,2.0,1.7,3.7,4.1,
"      Life sciences teachers, postsecondary",'25-1040,Summary,78.3,83.6,5.3,6.8,3.9,3.2,7.1,3.1,2.6,5.8,6.3,
"        Agricultural sciences teachers, postsecondary",'25-1041,Line item,10.7,11.2,0.4,4.1,3.9,3.2,7.1,0.4,0.4,0.8,0.8,
"        Biological science teachers, postsecondary",'25-1042,Line item,66.0,70.8,4.8,7.3,3.9,3.2,7.1,2.7,2.2,4.9,5.4,
"        Forestry and conservation science teachers, postsecondary",'25-1043,Line item,1.6,1.7,0.1,4.0,3.9,3.2,7.1,0.1,0.1,0.1,0.1,
"      Physical sciences teachers, postsecondary",'25-1050,Summary,65.5,67.1,1.6,2.5,3.9,3.2,7.1,2.6,2.1,4.7,4.9,
"        Atmospheric, earth, marine, and space sciences teachers, postsecondary",'25-1051,Line item,14.0,14.4,0.4,2.6,3.9,3.2,7.1,0.6,0.5,1.0,1.0,
"        Chemistry teachers, postsecondary",'25-1052,Line item,25.4,26.0,0.6,2.2,3.9,3.2,7.1,1.0,0.8,1.8,1.9,
"        Environmental science teachers, postsecondary",'25-1053,Line item,9.0,9.3,0.3,2.9,3.9,3.2,7.1,0.4,0.3,0.7,0.7,
"        Physics teachers, postsecondary",'25-1054,Line item,17.1,17.5,0.4,2.5,3.9,3.2,7.1,0.7,0.6,1.2,1.3,
"      Social sciences teachers, postsecondary",'25-1060,Summary,151.2,155.2,4.0,2.7,3.9,3.2,7.1,6.0,5.0,10.9,11.3,
"        Anthropology and archeology teachers, postsecondary",'25-1061,Line item,6.5,6.7,0.2,2.7,3.9,3.2,7.1,0.3,0.2,0.5,0.5,
"        Area, ethnic, and cultural studies teachers, postsecondary",'25-1062,Line item,14.5,14.8,0.3,2.4,3.9,3.2,7.1,0.6,0.5,1.0,1.1,
"        Economics teachers, postsecondary",'25-1063,Line item,15.8,16.1,0.3,2.1,3.9,3.2,7.1,0.6,0.5,1.1,1.2,
"        Geography teachers, postsecondary",'25-1064,Line item,4.0,4.2,0.1,3.3,3.9,3.2,7.1,0.2,0.1,0.3,0.3,
"        Political science teachers, postsecondary",'25-1065,Line item,21.8,22.2,0.4,2.0,3.9,3.2,7.1,0.9,0.7,1.6,1.6,
"        Psychology teachers, postsecondary",'25-1066,Line item,52.5,54.4,1.9,3.6,3.9,3.2,7.1,2.1,1.7,3.8,4.0,
"        Sociology teachers, postsecondary",'25-1067,Line item,15.4,15.7,0.3,2.1,3.9,3.2,7.1,0.6,0.5,1.1,1.1,
"        Social sciences teachers, postsecondary, all other",'25-1069,Line item,20.7,21.1,0.4,1.7,3.9,3.2,7.1,0.8,0.7,1.5,1.5,
"      Health teachers, postsecondary",'25-1070,Summary,381.2,446.6,65.4,17.2,3.9,3.2,7.1,16.1,13.4,29.5,36.0,
"        Health specialties teachers, postsecondary",'25-1071,Line item,289.6,339.7,50.1,17.3,3.9,3.2,7.1,12.2,10.2,22.4,27.4,
"        Nursing instructors and teachers, postsecondary",'25-1072,Line item,91.6,106.9,15.3,16.8,3.9,3.2,7.1,3.9,3.2,7.1,8.6,
"      Education and library science teachers, postsecondary",'25-1080,Summary,80.0,81.8,1.7,2.2,3.9,3.2,7.1,3.1,2.6,5.8,5.9,
"        Education teachers, postsecondary",'25-1081,Line item,74.9,76.5,1.6,2.1,3.9,3.2,7.1,2.9,2.5,5.4,5.6,
"        Library science teachers, postsecondary",'25-1082,Line item,5.1,5.3,0.2,3.0,3.9,3.2,7.1,0.2,0.2,0.4,0.4,
"      Law, criminal justice, and social work teachers, postsecondary",'25-1110,Summary,62.9,64.2,1.4,2.2,3.9,3.2,7.1,2.5,2.1,4.5,4.7,
"        Criminal justice and law enforcement teachers, postsecondary",'25-1111,Line item,16.2,16.5,0.3,2.0,3.9,3.2,7.1,0.6,0.5,1.2,1.2,
"        Law teachers, postsecondary",'25-1112,Line item,29.5,30.2,0.6,2.2,3.9,3.2,7.1,1.2,1.0,2.1,2.2,
"        Social work teachers, postsecondary",'25-1113,Line item,17.1,17.5,0.4,2.3,3.9,3.2,7.1,0.7,0.6,1.2,1.3,
"      Arts, communications, history, and humanities teachers, postsecondary",'25-1120,Summary,309.2,312.1,2.9,0.9,3.9,3.2,7.1,12.1,10.1,22.1,22.4,
"        Art, drama, and music teachers, postsecondary",'25-1121,Line item,122.8,124.8,2.1,1.7,3.9,3.2,7.1,4.8,4.0,8.8,9.0,
"        Communications teachers, postsecondary",'25-1122,Line item,35.8,36.6,0.8,2.1,3.9,3.2,7.1,1.4,1.2,2.6,2.7,
"        English language and literature teachers, postsecondary",'25-1123,Line item,72.2,72.2,0.0,0.0,3.9,3.2,7.1,2.8,2.3,5.1,5.1,
"        Foreign language and literature teachers, postsecondary",'25-1124,Line item,26.4,26.4,0.0,-0.2,3.9,3.2,7.1,1.0,0.9,1.9,1.9,
"        History teachers, postsecondary",'25-1125,Line item,24.6,24.6,-0.1,-0.2,3.9,3.2,7.1,1.0,0.8,1.8,1.7,
"        Philosophy and religion teachers, postsecondary",'25-1126,Line item,27.3,27.5,0.2,0.7,3.9,3.2,7.1,1.1,0.9,2.0,2.0,
      Miscellaneous postsecondary teachers,'25-1190,Summary,324.2,328.9,4.7,1.4,3.9,3.2,7.1,12.7,10.6,23.3,23.7,
"        Family and consumer sciences teachers, postsecondary",'25-1192,Line item,3.2,3.3,0.1,3.4,3.9,3.2,7.1,0.1,0.1,0.2,0.2,
"        Recreation and fitness studies teachers, postsecondary",'25-1193,Line item,15.4,15.7,0.4,2.4,3.9,3.2,7.1,0.6,0.5,1.1,1.1,
"        Career/technical education teachers, postsecondary",'25-1194,Line item,122.2,123.0,0.8,0.7,3.9,3.2,7.1,4.8,4.0,8.7,8.8,
"        Postsecondary teachers, all other",'25-1199,Line item,183.4,186.8,3.4,1.8,3.9,3.2,7.1,7.2,6.0,13.2,13.5,
"    Preschool, elementary, middle, secondary, and special education teachers",'25-2000,Summary,"4,500.1","4,453.2",-46.9,-1.0,3.5,3.8,7.3,157.0,168.6,325.6,320.9,
      Preschool and kindergarten teachers,'25-2010,Summary,672.3,693.3,21.0,3.1,4.7,6.4,11.1,32.2,43.9,76.1,78.2,
"        Preschool teachers, except special education",'25-2011,Line item,555.1,578.1,22.9,4.1,4.7,6.4,11.1,26.8,36.4,63.2,65.5,
"        Kindergarten teachers, except special education",'25-2012,Line item,117.2,115.2,-1.9,-1.6,4.7,6.4,11.1,5.5,7.5,13.0,12.8,
      Elementary and middle school teachers,'25-2020,Summary,"2,070.4","2,029.9",-40.6,-2.0,3.4,3.3,6.7,68.8,67.7,136.5,132.4,
"        Elementary school teachers, except special education",'25-2021,Line item,"1,422.7","1,394.8",-27.9,-2.0,3.4,3.3,6.7,47.3,46.5,93.8,91.0,
"        Middle school teachers, except special and career/technical education",'25-2022,Line item,633.7,621.3,-12.4,-2.0,3.4,3.3,6.7,21.1,20.7,41.8,40.5,
"        Career/technical education teachers, middle school",'25-2023,Line item,14.0,13.8,-0.3,-2.0,3.4,3.3,6.7,0.5,0.5,0.9,0.9,
      Secondary school teachers,'25-2030,Summary,"1,197.9","1,178.2",-19.7,-1.6,3.1,3.2,6.3,36.5,37.9,74.4,72.4,
"        Secondary school teachers, except special and career/technical education",'25-2031,Line item,"1,094.5","1,076.7",-17.8,-1.6,3.1,3.2,6.3,33.3,34.6,68.0,66.2,
"        Career/technical education teachers, secondary school",'25-2032,Line item,103.4,101.5,-1.9,-1.8,3.1,3.2,6.3,3.1,3.3,6.4,6.2,
      Special education teachers,'25-2050,Summary,559.5,551.8,-7.7,-1.4,3.5,3.5,6.9,19.4,19.2,38.6,37.8,
"        Special education teachers, preschool",'25-2051,Line item,29.3,29.7,0.4,1.4,3.5,3.5,6.9,1.0,1.0,2.1,2.1,
"        Special education teachers, kindergarten and elementary school",'25-2052,Line item,230.2,226.1,-4.1,-1.8,3.5,3.5,6.9,8.0,7.9,15.9,15.4,
"        Special education teachers, middle school",'25-2057,Line item,94.8,93.0,-1.8,-1.9,3.5,3.5,6.9,3.3,3.2,6.5,6.3,
"        Special education teachers, secondary school",'25-2058,Line item,164.2,161.5,-2.6,-1.6,3.5,3.5,6.9,5.7,5.6,11.3,11.1,
"        Special education teachers, all other",'25-2059,Line item,41.0,41.5,0.4,1.1,3.5,3.5,6.9,1.4,1.4,2.9,2.9,
    Other teachers and instructors,'25-3000,Summary,"1,337.7","1,357.1",19.4,1.4,6.4,6.2,12.6,85.9,83.6,169.5,171.4,
"      Adult basic education, adult secondary education, and english as a second language instructors",'25-3011,Line item,40.9,35.3,-5.6,-13.7,5.9,5.8,11.7,2.2,2.2,4.5,3.9,
      Self-enrichment teachers,'25-3021,Line item,417.5,433.0,15.5,3.7,5.9,5.8,11.7,24.9,24.9,49.8,51.4,
"      Substitute teachers, short-term",'25-3031,Line item,510.1,518.5,8.4,1.6,5.9,5.8,11.7,30.2,30.1,60.2,61.1,
      Tutors,'25-3041,Line item,215.5,216.8,1.3,0.6,9.0,8.1,17.1,19.5,17.4,36.9,37.1,
"      Teachers and instructors, all other",'25-3099,Line item,153.8,153.5,-0.2,-0.1,5.9,5.8,11.7,9.0,9.0,18.0,18.0,
"    Librarians, curators, and archivists",'25-4000,Summary,260.8,260.1,-0.7,-0.3,6.5,5.5,12.0,16.9,14.4,31.3,31.2,
"      Archivists, curators, and museum technicians",'25-4010,Summary,40.2,42.4,2.3,5.6,5.5,5.5,11.0,2.3,2.3,4.6,4.8,
        Archivists,'25-4011,Line item,9.3,9.7,0.4,3.8,5.5,5.5,11.0,0.5,0.5,1.0,1.1,
        Curators,'25-4012,Line item,15.1,16.2,1.1,7.0,5.5,5.5,11.0,0.9,0.9,1.7,1.8,
        Museum technicians and conservators,'25-4013,Line item,15.7,16.5,0.8,5.4,5.5,5.5,11.0,0.9,0.9,1.8,1.9,
      Librarians and media collections specialists,'25-4022,Line item,142.1,144.5,2.4,1.7,5.3,3.9,9.2,7.6,5.7,13.2,13.5,
      Library technicians,'25-4031,Line item,78.6,73.2,-5.4,-6.8,9.3,8.5,17.8,7.0,6.5,13.5,13.0,
    Other educational instruction and library occupations,'25-9000,Summary,"1,993.3","1,982.9",-10.5,-0.5,5.6,6.0,11.6,111.2,120.2,231.5,230.4,
      Farm and home management educators,'25-9021,Line item,12.4,12.1,-0.3,-2.5,4.9,4.3,9.2,0.6,0.5,1.1,1.1,
      Instructional coordinators,'25-9031,Line item,232.6,235.5,2.9,1.3,4.9,4.3,9.2,11.5,10.1,21.6,21.9,
      Teaching assistants,'25-9040,Summary,"1,616.3","1,601.3",-15.1,-0.9,5.8,6.5,12.2,92.6,103.9,196.5,195.0,
"        Teaching assistants, postsecondary",'25-9044,Line item,193.6,199.6,6.0,3.1,5.8,6.5,12.2,11.3,12.7,24.0,24.6,
"        Teaching assistants, except postsecondary",'25-9045,Line item,"1,422.8","1,401.7",-21.1,-1.5,5.8,6.5,12.2,81.3,91.2,172.5,170.4,
"      Educational instruction and library workers, all other",'25-9099,Line item,132.0,134.0,2.0,1.5,4.9,4.3,9.2,6.5,5.7,12.3,12.5,
"  Arts, design, entertainment, sports, and media occupations",'27-0000,Summary,"3,021.1","3,104.6",83.5,2.8,3.9,5.2,9.2,120.4,160.6,281.0,289.4,
    Art and design workers,'27-1000,Summary,950.3,971.8,21.5,2.3,3.7,4.9,8.6,35.7,47.0,82.7,84.9,
      Artists and related workers,'27-1010,Summary,244.2,250.8,6.7,2.7,4.1,4.4,8.5,10.2,10.8,21.0,21.7,
        Art directors,'27-1011,Line item,135.0,140.7,5.7,4.2,4.1,4.4,8.5,5.7,6.0,11.7,12.3,
        Craft artists,'27-1012,Line item,11.6,11.9,0.2,2.1,4.1,4.4,8.5,0.5,0.5,1.0,1.0,
"        Fine artists, including painters, sculptors, and illustrators",'27-1013,Line item,26.5,26.2,-0.3,-1.2,4.1,4.4,8.5,1.1,1.2,2.2,2.2,
        Special effects artists and animators,'27-1014,Line item,57.1,58.0,0.9,1.6,4.1,4.4,8.5,2.4,2.5,4.9,5.0,
"        Artists and related workers, all other",'27-1019,Line item,13.9,14.0,0.1,0.8,4.1,4.4,8.5,0.6,0.6,1.2,1.2,
      Designers,'27-1020,Summary,706.1,721.0,14.9,2.1,3.6,5.1,8.6,25.5,36.2,61.7,63.2,
        Commercial and industrial designers,'27-1021,Line item,30.6,31.6,1.0,3.2,3.0,4.7,7.7,0.9,1.5,2.4,2.5,
        Fashion designers,'27-1022,Line item,25.7,26.2,0.5,2.0,3.4,5.3,8.7,0.9,1.4,2.3,2.3,
        Floral designers,'27-1023,Line item,43.8,41.2,-2.6,-5.9,6.8,5.8,12.6,2.9,2.5,5.4,5.1,
        Graphic designers,'27-1024,Line item,265.9,271.5,5.7,2.1,2.4,4.8,7.2,6.5,13.0,19.5,20.0,
        Interior designers,'27-1025,Line item,87.1,89.9,2.8,3.2,3.9,4.5,8.4,3.5,4.0,7.5,7.8,
        Merchandise displayers and window trimmers,'27-1026,Line item,193.0,199.3,6.2,3.2,4.7,5.6,10.3,9.2,11.0,20.2,20.8,
        Set and exhibit designers,'27-1027,Line item,31.3,32.0,0.7,2.3,2.8,4.8,7.6,0.9,1.5,2.4,2.5,
"        Designers, all other",'27-1029,Line item,28.6,29.2,0.6,2.0,2.8,4.8,7.6,0.8,1.4,2.2,2.2,
"    Entertainers and performers, sports and related workers",'27-2000,Summary,854.1,889.4,35.3,4.1,5.0,6.0,11.0,44.0,52.2,96.2,99.7,
"      Actors, producers, and directors",'27-2010,Summary,223.9,232.4,8.4,3.8,2.7,5.3,8.0,6.3,12.0,18.3,19.1,
        Actors,'27-2011,Line item,57.0,57.1,0.2,0.3,4.5,6.5,11.0,2.6,3.7,6.3,6.3,
        Producers and directors,'27-2012,Line item,167.0,175.2,8.3,4.9,2.2,4.9,7.0,3.7,8.3,12.0,12.8,
"      Athletes, coaches, umpires, and related workers",'27-2020,Summary,344.9,366.6,21.7,6.3,6.2,6.8,13.0,22.0,24.3,46.4,48.5,
        Athletes and sports competitors,'27-2021,Line item,19.1,20.2,1.0,5.5,2.4,7.9,10.3,0.5,1.6,2.0,2.1,
        Coaches and scouts,'27-2022,Line item,306.5,326.0,19.5,6.4,6.0,6.6,12.6,18.9,20.9,39.8,41.8,
"        Umpires, referees, and other sports officials",'27-2023,Line item,19.3,20.4,1.1,5.7,13.3,9.3,22.6,2.6,1.8,4.5,4.6,
      Dancers and choreographers,'27-2030,Summary,17.0,17.8,0.8,4.9,5.7,8.1,13.8,1.0,1.4,2.4,2.5,
        Dancers,'27-2031,Line item,12.3,12.9,0.6,4.5,5.7,8.1,13.8,0.7,1.0,1.7,1.8,
        Choreographers,'27-2032,Line item,4.6,4.9,0.3,6.1,5.7,8.1,13.8,0.3,0.4,0.7,0.7,
"      Musicians, singers, and related workers",'27-2040,Summary,217.1,218.8,1.7,0.8,5.7,5.1,10.8,12.4,11.2,23.5,23.7,
        Music directors and composers,'27-2041,Line item,47.3,47.2,-0.1,-0.3,4.0,5.1,9.1,1.9,2.4,4.3,4.3,
        Musicians and singers,'27-2042,Line item,169.8,171.6,1.8,1.1,6.1,5.1,11.3,10.5,8.7,19.2,19.4,
"      Miscellaneous entertainers and performers, sports and related workers",'27-2090,Summary,51.2,53.9,2.7,5.3,4.4,6.2,10.6,2.3,3.3,5.6,5.8,
"        Disc jockeys, except radio",'27-2091,Line item,15.4,16.0,0.6,3.8,3.6,5.4,9.0,0.6,0.8,1.4,1.5,
"        Entertainers and performers, sports and related workers, all other",'27-2099,Line item,35.8,38.0,2.1,6.0,4.7,6.6,11.3,1.7,2.4,4.2,4.4,
    Media and communication workers,'27-3000,Summary,824.3,844.4,20.1,2.4,3.6,4.9,8.6,30.2,41.2,71.4,73.4,
      Broadcast announcers and radio disc jockeys,'27-3011,Line item,24.1,22.8,-1.3,-5.5,4.8,5.7,10.5,1.1,1.3,2.5,2.3,
"      News analysts, reporters, and journalists",'27-3023,Line item,49.3,47.4,-1.9,-3.9,4.1,4.9,9.0,2.0,2.4,4.3,4.1,
      Public relations specialists,'27-3031,Line item,315.9,331.0,15.0,4.8,2.8,5.3,8.1,9.0,17.1,26.1,27.6,
      Writers and editors,'27-3040,Summary,307.6,313.7,6.1,2.0,4.0,4.7,8.7,12.5,14.6,27.1,27.7,
        Editors,'27-3041,Line item,115.8,116.5,0.7,0.6,3.6,4.8,8.4,4.1,5.6,9.7,9.8,
        Technical writers,'27-3042,Line item,56.4,56.9,0.5,0.9,3.2,4.6,7.8,1.8,2.6,4.4,4.5,
        Writers and authors,'27-3043,Line item,135.4,140.3,4.9,3.6,4.7,4.7,9.4,6.5,6.4,13.0,13.4,
      Miscellaneous media and communication workers,'27-3090,Summary,127.4,129.5,2.2,1.7,4.4,4.5,8.9,5.6,5.8,11.4,11.6,
        Interpreters and translators,'27-3091,Line item,75.3,76.6,1.3,1.7,5.0,4.0,9.0,3.8,3.0,6.8,6.9,
        Court reporters and simultaneous captioners,'27-3092,Line item,17.7,17.7,0.0,-0.3,5.0,4.5,9.5,0.9,0.8,1.7,1.7,
