2024 National Employment Matrix title,2024 National Employment Matrix code,"Employment, 2024","Employment, 2034","Employment change, numeric, 2024–34","Employment change, percent, 2024–34","Percent self employed, 2024","Occupational openings, 2024–34 annual average","Median annual wage, dollars, 2024[1]",Typical education needed for entry,Top highest skill,Second highest skill,Third highest skill,Related Occupational Outlook Handbook (OOH) content
  Food science technicians,'19-4013,20.4,21.3,1.0,4.8,6.7,3.2,"49,430",Associate's degree,Detail oriented,Adaptability,Leadership,OOH Content
  Biological technicians,'19-4021,82.7,85.6,2.9,3.5,—,9.1,"52,000",Bachelor's degree,Adaptability,Detail oriented,Computers and information technology,OOH Content
  Chemical technicians,'19-4031,57.0,59.0,2.1,3.7,0.7,6.7,"57,790",Associate's degree,Detail oriented,Writing and reading,Computers and information technology,OOH Content
"  Environmental science and protection technicians, including health",'19-4042,40.4,42.1,1.6,4.0,—,5.6,"49,490",Associate's degree,Writing and reading,Adaptability,Computers and information technology,OOH Content
"  Geological technicians, except hydrologic technicians",'19-4043,9.8,10.0,0.1,1.5,—,1.3,"48,390",Associate's degree,Detail oriented,Computers and information technology,Writing and reading,OOH Content
  Hydrologic technicians[2],'19-4044,3.1,3.0,-0.1,-2.1,—,0.4,"58,570",Associate's degree,Writing and reading,Computers and information technology,Critical and analytical thinking,OOH Content
  Nuclear technicians,'19-4051,6.0,5.5,-0.5,-7.7,—,0.7,"104,240",Associate's degree,Detail oriented,Adaptability,Computers and information technology,OOH Content
  Social science research assistants,'19-4061,40.6,42.3,1.8,4.4,4.9,5.2,"58,040",Bachelor's degree,Computers and information technology,Writing and reading,Adaptability,—
  Forest and conservation technicians,'19-4071,33.8,32.7,-1.1,-3.2,0.7,3.9,"54,310",Associate's degree,Adaptability,Detail oriented,Problem solving and decision making,—
  Forensic science technicians,'19-4092,20.7,23.3,2.6,12.8,0.9,2.9,"67,440",Bachelor's degree,Detail oriented,Writing and reading,Problem solving and decision making,OOH Content
"  Life, physical, and social science technicians, all other[2]",'19-4099,83.2,86.2,2.9,3.5,4.9,10.6,"60,130",Associate's degree,Detail oriented,Adaptability,Writing and reading,—
  Occupational health and safety specialists,'19-5011,131.9,148.4,16.5,12.5,0.1,14.9,"83,910",Bachelor's degree,Adaptability,Writing and reading,Problem solving and decision making,OOH Content
  Occupational health and safety technicians,'19-5012,31.9,34.6,2.7,8.5,—,3.4,"58,440",High school diploma or equivalent,Adaptability,Writing and reading,Detail oriented,OOH Content
"  Educational, guidance, and career counselors and advisors",'21-1012,376.3,389.6,13.3,3.5,0.6,31.0,"65,140",Master's degree,Interpersonal,Adaptability,Writing and reading,OOH Content
  Marriage and family therapists,'21-1013,77.8,87.7,9.8,12.6,12.8,7.7,"63,780",Master's degree,Interpersonal,Adaptability,Problem solving and decision making,OOH Content
  Rehabilitation counselors,'21-1015,91.9,93.2,1.3,1.4,—,10.0,"46,110",Master's degree,Interpersonal,Adaptability,Writing and reading,OOH Content
"  Substance abuse, behavioral disorder, and mental health counselors",'21-1018,483.5,564.6,81.0,16.8,5.9,48.3,"59,190",Master's degree,Interpersonal,Adaptability,Writing and reading,OOH Content
"  Counselors, all other[2]",'21-1019,69.1,77.8,8.7,12.6,48.2,7.4,"49,830",Master's degree,Interpersonal,Adaptability,Writing and reading,—
"  Child, family, and school social workers",'21-1021,399.9,413.3,13.4,3.4,0.2,35.1,"58,570",Bachelor's degree,Interpersonal,Customer service,Adaptability,OOH Content
  Healthcare social workers,'21-1022,193.2,208.1,14.8,7.7,0.3,18.4,"68,090",Master's degree,Interpersonal,Adaptability,Writing and reading,OOH Content
  Mental health and substance abuse social workers,'21-1023,136.8,150.1,13.3,9.7,4.8,13.5,"60,060",Master's degree,Interpersonal,Adaptability,Writing and reading,OOH Content
"  Social workers, all other[2]",'21-1029,81.0,84.1,3.1,3.9,14.5,7.0,"69,480",Bachelor's degree,Interpersonal,Adaptability,Customer service,OOH Content
  Health education specialists,'21-1091,71.8,75.0,3.2,4.5,0.6,7.9,"63,000",Bachelor's degree,Adaptability,Writing and reading,Interpersonal,OOH Content
  Probation officers and correctional treatment specialists,'21-1092,92.3,94.8,2.4,2.6,—,7.9,"64,520",Bachelor's degree,Adaptability,Customer service,Detail oriented,OOH Content
  Social and human service assistants,'21-1093,449.6,478.5,28.9,6.4,0.3,50.6,"45,120",High school diploma or equivalent,Interpersonal,Adaptability,Customer service,OOH Content
  Community health workers,'21-1094,65.1,72.5,7.4,11.3,0.8,7.8,"51,030",High school diploma or equivalent,Interpersonal,Adaptability,Writing and reading,OOH Content
"  Community and social service specialists, all other[2]",'21-1099,119.2,124.7,5.5,4.6,0.6,13.1,"54,940",Bachelor's degree,Interpersonal,Adaptability,Writing and reading,—
  Clergy,'21-2011,262.0,264.6,2.6,1.0,5.7,23.0,"60,820",Bachelor's degree,Interpersonal,Speaking and listening,Adaptability,—
"  Directors, religious activities and education",'21-2021,138.9,141.8,2.9,2.1,0.2,13.8,"54,840",Bachelor's degree,Interpersonal,Adaptability,Speaking and listening,—
"  Religious workers, all other[2]",'21-2099,88.4,89.0,0.6,0.6,6.5,11.1,"45,120",Bachelor's degree,Interpersonal,Adaptability,Speaking and listening,—
  Lawyers,'23-1011,864.8,900.7,35.9,4.1,11.9,31.5,"151,160",Doctoral or professional degree,Writing and reading,Problem solving and decision making,Adaptability,OOH Content
  Judicial law clerks,'23-1012,14.5,14.9,0.4,2.5,2.7,1.0,"60,400",Doctoral or professional degree,Writing and reading,Detail oriented,Problem solving and decision making,—
"  Administrative law judges, adjudicators, and hearing officers",'23-1021,17.5,17.4,-0.1,-0.7,—,0.5,"115,230",Doctoral or professional degree,Adaptability,Problem solving and decision making,Writing and reading,OOH Content
"  Arbitrators, mediators, and conciliators",'23-1022,9.1,9.5,0.4,4.3,9.1,0.3,"67,710",Bachelor's degree,Writing and reading,Adaptability,Problem solving and decision making,OOH Content
"  Judges, magistrate judges, and magistrates",'23-1023,27.3,28.0,0.7,2.5,—,0.9,"156,210",Doctoral or professional degree,Adaptability,Problem solving and decision making,Writing and reading,OOH Content
  Paralegals and legal assistants,'23-2011,376.2,376.8,0.6,0.2,1.4,39.3,"61,010",Associate's degree,Adaptability,Computers and information technology,Detail oriented,OOH Content
"  Title examiners, abstractors, and searchers",'23-2093,57.4,58.5,1.1,2.0,8.9,5.4,"54,980",High school diploma or equivalent,Detail oriented,Writing and reading,Computers and information technology,—
"  Legal support workers, all other[2]",'23-2099,51.3,50.7,-0.6,-1.2,2.8,4.7,"68,760",Associate's degree,Adaptability,Computers and information technology,Detail oriented,—
"  Business teachers, postsecondary",'25-1011,103.1,109.0,5.8,5.7,0.3,8.1,"97,270",Doctoral or professional degree,Adaptability,Writing and reading,Speaking and listening,OOH Content
"  Computer science teachers, postsecondary",'25-1021,44.8,47.2,2.4,5.3,0.2,3.5,"96,690",Doctoral or professional degree,Computers and information technology,Adaptability,Writing and reading,OOH Content
"  Mathematical science teachers, postsecondary",'25-1022,58.9,60.2,1.3,2.3,0.2,4.4,"79,350",Doctoral or professional degree,Mathematics,Writing and reading,Adaptability,OOH Content
"  Architecture teachers, postsecondary",'25-1031,11.6,11.9,0.2,2.0,—,0.9,"101,480",Doctoral or professional degree,Adaptability,Writing and reading,Speaking and listening,OOH Content
"  Engineering teachers, postsecondary",'25-1032,50.3,54.4,4.1,8.1,0.2,4.1,"106,120",Doctoral or professional degree,Adaptability,Writing and reading,Speaking and listening,OOH Content
"  Agricultural sciences teachers, postsecondary",'25-1041,10.7,11.2,0.4,4.1,—,0.8,"86,350",Doctoral or professional degree,Adaptability,Writing and reading,Speaking and listening,OOH Content
"  Biological science teachers, postsecondary",'25-1042,66.0,70.8,4.8,7.3,0.2,5.4,"83,460",Doctoral or professional degree,Adaptability,Writing and reading,Speaking and listening,OOH Content
"  Forestry and conservation science teachers, postsecondary",'25-1043,1.6,1.7,0.1,4.0,—,0.1,"100,830",Doctoral or professional degree,Adaptability,Writing and reading,Speaking and listening,OOH Content
"  Atmospheric, earth, marine, and space sciences teachers, postsecondary",'25-1051,14.0,14.4,0.4,2.6,—,1.0,"101,390",Doctoral or professional degree,Speaking and listening,Writing and reading,Adaptability,OOH Content
"  Chemistry teachers, postsecondary",'25-1052,25.4,26.0,0.6,2.2,0.2,1.9,"86,220",Doctoral or professional degree,Writing and reading,Adaptability,Science,OOH Content
"  Environmental science teachers, postsecondary",'25-1053,9.0,9.3,0.3,2.9,—,0.7,"87,710",Doctoral or professional degree,Writing and reading,Adaptability,Speaking and listening,OOH Content
"  Physics teachers, postsecondary",'25-1054,17.1,17.5,0.4,2.5,—,1.3,"97,360",Doctoral or professional degree,Writing and reading,Adaptability,Mathematics,OOH Content
"  Anthropology and archeology teachers, postsecondary",'25-1061,6.5,6.7,0.2,2.7,—,0.5,"95,770",Doctoral or professional degree,Adaptability,Writing and reading,Speaking and listening,OOH Content
"  Area, ethnic, and cultural studies teachers, postsecondary",'25-1062,14.5,14.8,0.3,2.4,—,1.1,"84,290",Doctoral or professional degree,Adaptability,Writing and reading,Speaking and listening,OOH Content
"  Economics teachers, postsecondary",'25-1063,15.8,16.1,0.3,2.1,—,1.2,"119,980",Doctoral or professional degree,Writing and reading,Speaking and listening,Adaptability,OOH Content
"  Geography teachers, postsecondary",'25-1064,4.0,4.2,0.1,3.3,—,0.3,"86,730",Doctoral or professional degree,Writing and reading,Adaptability,Speaking and listening,OOH Content
"  Political science teachers, postsecondary",'25-1065,21.8,22.2,0.4,2.0,0.3,1.6,"94,680",Doctoral or professional degree,Adaptability,Writing and reading,Speaking and listening,OOH Content
"  Psychology teachers, postsecondary",'25-1066,52.5,54.4,1.9,3.6,0.3,4.0,"80,330",Doctoral or professional degree,Adaptability,Writing and reading,Speaking and listening,OOH Content
"  Sociology teachers, postsecondary",'25-1067,15.4,15.7,0.3,2.1,—,1.1,"82,540",Doctoral or professional degree,Adaptability,Writing and reading,Speaking and listening,OOH Content
"  Social sciences teachers, postsecondary, all other[2]",'25-1069,20.7,21.1,0.4,1.7,—,1.5,"75,040",Doctoral or professional degree,Adaptability,Writing and reading,Speaking and listening,OOH Content
"  Health specialties teachers, postsecondary",'25-1071,289.6,339.7,50.1,17.3,0.3,27.4,"105,620",Doctoral or professional degree,Adaptability,Writing and reading,Speaking and listening,OOH Content
"  Nursing instructors and teachers, postsecondary",'25-1072,91.6,106.9,15.3,16.8,0.4,8.6,"79,940",Doctoral or professional degree,Adaptability,Interpersonal,Writing and reading,OOH Content
"  Education teachers, postsecondary",'25-1081,74.9,76.5,1.6,2.1,0.3,5.6,"72,090",Doctoral or professional degree,Speaking and listening,Writing and reading,Problem solving and decision making,OOH Content
"  Library science teachers, postsecondary",'25-1082,5.1,5.3,0.2,3.0,—,0.4,"78,630",Doctoral or professional degree,Adaptability,Writing and reading,Computers and information technology,OOH Content
"  Criminal justice and law enforcement teachers, postsecondary",'25-1111,16.2,16.5,0.3,2.0,—,1.2,"71,470",Doctoral or professional degree,Adaptability,Writing and reading,Speaking and listening,OOH Content
"  Law teachers, postsecondary",'25-1112,29.5,30.2,0.6,2.2,0.3,2.2,"126,650",Doctoral or professional degree,Writing and reading,Adaptability,Speaking and listening,OOH Content
"  Social work teachers, postsecondary",'25-1113,17.1,17.5,0.4,2.3,—,1.3,"76,210",Doctoral or professional degree,Adaptability,Writing and reading,Speaking and listening,OOH Content
"  Art, drama, and music teachers, postsecondary",'25-1121,122.8,124.8,2.1,1.7,0.4,9.0,"80,190",Master's degree,Creativity and innovation,Adaptability,Speaking and listening,OOH Content
"  Communications teachers, postsecondary",'25-1122,35.8,36.6,0.8,2.1,0.2,2.7,"77,800",Doctoral or professional degree,Adaptability,Speaking and listening,Writing and reading,OOH Content
"  English language and literature teachers, postsecondary",'25-1123,72.2,72.2,0.0,0.0,0.2,5.1,"78,270",Doctoral or professional degree,Writing and reading,Adaptability,Speaking and listening,OOH Content
"  Foreign language and literature teachers, postsecondary",'25-1124,26.4,26.4,0.0,-0.2,0.3,1.9,"77,010",Doctoral or professional degree,Adaptability,Writing and reading,Speaking and listening,OOH Content
"  History teachers, postsecondary",'25-1125,24.6,24.6,-0.1,-0.2,0.2,1.7,"81,500",Doctoral or professional degree,Writing and reading,Adaptability,Speaking and listening,OOH Content
"  Philosophy and religion teachers, postsecondary",'25-1126,27.3,27.5,0.2,0.7,0.5,2.0,"78,050",Doctoral or professional degree,Writing and reading,Speaking and listening,Adaptability,OOH Content
"  Family and consumer sciences teachers, postsecondary",'25-1192,3.2,3.3,0.1,3.4,—,0.2,"77,280",Doctoral or professional degree,Adaptability,Writing and reading,Speaking and listening,OOH Content
"  Recreation and fitness studies teachers, postsecondary",'25-1193,15.4,15.7,0.4,2.4,—,1.1,"75,890",Doctoral or professional degree,Adaptability,Writing and reading,Speaking and listening,OOH Content
"  Career/technical education teachers, postsecondary",'25-1194,122.2,123.0,0.8,0.7,0.4,8.8,"61,490",Bachelor's degree,Adaptability,Writing and reading,Speaking and listening,OOH Content
"  Postsecondary teachers, all other[2]",'25-1199,183.4,186.8,3.4,1.8,0.3,13.5,"78,490",Doctoral or professional degree,Adaptability,Writing and reading,Speaking and listening,—
"  Preschool teachers, except special education",'25-2011,555.1,578.1,22.9,4.1,0.6,65.5,"37,120",Associate's degree,Interpersonal,Adaptability,Speaking and listening,OOH Content
"  Kindergarten teachers, except special education",'25-2012,117.2,115.2,-1.9,-1.6,0.1,12.8,"61,430",Bachelor's degree,Adaptability,Interpersonal,Speaking and listening,OOH Content
"  Elementary school teachers, except special education",'25-2021,"1,422.7","1,394.8",-27.9,-2.0,0.6,91.0,"62,340",Bachelor's degree,Adaptability,Interpersonal,Speaking and listening,OOH Content
"  Middle school teachers, except special and career/technical education",'25-2022,633.7,621.3,-12.4,-2.0,0.6,40.5,"62,970",Bachelor's degree,Adaptability,Interpersonal,Writing and reading,OOH Content
"  Career/technical education teachers, middle school",'25-2023,14.0,13.8,-0.3,-2.0,—,0.9,"63,620",Bachelor's degree,Adaptability,Writing and reading,Interpersonal,OOH Content
"  Secondary school teachers, except special and career/technical education",'25-2031,"1,094.5","1,076.7",-17.8,-1.6,0.0,66.2,"64,580",Bachelor's degree,Adaptability,Speaking and listening,Interpersonal,OOH Content
"  Career/technical education teachers, secondary school",'25-2032,103.4,101.5,-1.9,-1.8,—,6.2,"63,910",Bachelor's degree,Adaptability,Speaking and listening,Interpersonal,OOH Content
"  Special education teachers, preschool",'25-2051,29.3,29.7,0.4,1.4,1.8,2.1,"62,190",Bachelor's degree,Adaptability,Interpersonal,Writing and reading,OOH Content
"  Special education teachers, kindergarten and elementary school[2]",'25-2052,230.2,226.1,-4.1,-1.8,0.3,15.4,"63,000",Bachelor's degree,Adaptability,Interpersonal,Writing and reading,OOH Content
"  Special education teachers, middle school",'25-2057,94.8,93.0,-1.8,-1.9,0.3,6.3,"64,880",Bachelor's degree,Adaptability,Interpersonal,Writing and reading,OOH Content
"  Special education teachers, secondary school",'25-2058,164.2,161.5,-2.6,-1.6,0.5,11.1,"69,590",Bachelor's degree,Adaptability,Interpersonal,Writing and reading,OOH Content
"  Special education teachers, all other[2]",'25-2059,41.0,41.5,0.4,1.1,1.6,2.9,"67,430",Bachelor's degree,Adaptability,Interpersonal,Writing and reading,OOH Content
"  Adult basic education, adult secondary education, and english as a second language instructors",'25-3011,40.9,35.3,-5.6,-13.7,5.6,3.9,"59,950",Bachelor's degree,Adaptability,Writing and reading,Speaking and listening,OOH Content
  Self-enrichment teachers,'25-3021,417.5,433.0,15.5,3.7,16.8,51.4,"45,590",High school diploma or equivalent,Adaptability,Interpersonal,Problem solving and decision making,—
"  Substitute teachers, short-term[2]",'25-3031,510.1,518.5,8.4,1.6,5.0,61.1,"38,470",Bachelor's degree,Interpersonal,Adaptability,Writing and reading,—
  Tutors,'25-3041,215.5,216.8,1.3,0.6,13.7,37.1,"40,090","Some college, no degree",Interpersonal,Adaptability,Writing and reading,OOH Content
"  Teachers and instructors, all other[2]",'25-3099,153.8,153.5,-0.2,-0.1,8.6,18.0,"64,690",Bachelor's degree,Adaptability,Interpersonal,Writing and reading,—
  Archivists,'25-4011,9.3,9.7,0.4,3.8,10.4,1.1,"61,570",Master's degree,Writing and reading,Computers and information technology,Adaptability,OOH Content
  Curators,'25-4012,15.1,16.2,1.1,7.0,13.1,1.8,"61,770",Master's degree,Writing and reading,Creativity and innovation,Adaptability,OOH Content
  Museum technicians and conservators,'25-4013,15.7,16.5,0.8,5.4,12.0,1.9,"47,460",Bachelor's degree,Detail oriented,Creativity and innovation,Adaptability,OOH Content
  Librarians and media collections specialists,'25-4022,142.1,144.5,2.4,1.7,0.9,13.5,"64,320",Master's degree,Adaptability,Computers and information technology,Writing and reading,OOH Content
  Library technicians,'25-4031,78.6,73.2,-5.4,-6.8,—,13.0,"39,970",Postsecondary nondegree award,Adaptability,Computers and information technology,Interpersonal,OOH Content
  Farm and home management educators,'25-9021,12.4,12.1,-0.3,-2.5,0.7,1.1,"58,120",Master's degree,Adaptability,Writing and reading,Speaking and listening,—
  Instructional coordinators,'25-9031,232.6,235.5,2.9,1.3,3.3,21.9,"74,720",Master's degree,Adaptability,Writing and reading,Speaking and listening,OOH Content
"  Teaching assistants, postsecondary",'25-9044,193.6,199.6,6.0,3.1,0.1,24.6,"44,930",Bachelor's degree,Adaptability,Writing and reading,Computers and information technology,—
"  Teaching assistants, except postsecondary[2]",'25-9045,"1,422.8","1,401.7",-21.1,-1.5,0.1,170.4,"35,240","Some college, no degree",Interpersonal,Adaptability,Writing and reading,OOH Content
"  Educational instruction and library workers, all other[2]",'25-9099,132.0,134.0,2.0,1.5,2.4,12.5,"48,400",Bachelor's degree,Adaptability,Interpersonal,Writing and reading,—
  Art directors,'27-1011,135.0,140.7,5.7,4.2,61.9,12.3,"111,040",Bachelor's degree,Creativity and innovation,Adaptability,Problem solving and decision making,OOH Content
  Craft artists,'27-1012,11.6,11.9,0.2,2.1,62.6,1.0,"38,480",No formal educational credential,Creativity and innovation,Detail oriented,Fine motor,OOH Content
"  Fine artists, including painters, sculptors, and illustrators",'27-1013,26.5,26.2,-0.3,-1.2,61.6,2.2,"60,560",Bachelor's degree,Creativity and innovation,Adaptability,Detail oriented,OOH Content
  Special effects artists and animators,'27-1014,57.1,58.0,0.9,1.6,61.5,5.0,"99,800",Bachelor's degree,Computers and information technology,Adaptability,Detail oriented,OOH Content
"  Artists and related workers, all other[2]",'27-1019,13.9,14.0,0.1,0.8,44.0,1.2,"72,760",No formal educational credential,Creativity and innovation,Adaptability,Problem solving and decision making,OOH Content
  Commercial and industrial designers,'27-1021,30.6,31.6,1.0,3.2,2.0,2.5,"79,450",Bachelor's degree,Detail oriented,Problem solving and decision making,Computers and information technology,OOH Content
  Fashion designers,'27-1022,25.7,26.2,0.5,2.0,20.0,2.3,"80,690",Bachelor's degree,Creativity and innovation,Adaptability,Leadership,OOH Content
  Floral designers,'27-1023,43.8,41.2,-2.6,-5.9,10.7,5.1,"36,120",High school diploma or equivalent,Customer service,Adaptability,Creativity and innovation,OOH Content
  Graphic designers,'27-1024,265.9,271.5,5.7,2.1,17.7,20.0,"61,300",Bachelor's degree,Creativity and innovation,Adaptability,Computers and information technology,OOH Content
  Interior designers,'27-1025,87.1,89.9,2.8,3.2,21.2,7.8,"63,490",Bachelor's degree,Creativity and innovation,Adaptability,Computers and information technology,OOH Content
  Merchandise displayers and window trimmers,'27-1026,193.0,199.3,6.2,3.2,0.1,20.8,"37,350",High school diploma or equivalent,Adaptability,Customer service,Creativity and innovation,—
  Set and exhibit designers,'27-1027,31.3,32.0,0.7,2.3,63.5,2.5,"66,280",Bachelor's degree,Creativity and innovation,Adaptability,Speaking and listening,OOH Content
"  Designers, all other[2]",'27-1029,28.6,29.2,0.6,2.0,66.1,2.2,"66,220",Bachelor's degree,Creativity and innovation,Adaptability,Problem solving and decision making,—
  Actors,'27-2011,57.0,57.1,0.2,0.3,27.9,6.3,—,"Some college, no degree",Creativity and innovation,Speaking and listening,Adaptability,OOH Content
  Producers and directors,'27-2012,167.0,175.2,8.3,4.9,8.2,12.8,"83,480",Bachelor's degree,Adaptability,Speaking and listening,Problem solving and decision making,OOH Content
  Athletes and sports competitors,'27-2021,19.1,20.2,1.0,5.5,20.7,2.1,"62,360",No formal educational credential,Adaptability,Speaking and listening,Problem solving and decision making,OOH Content
  Coaches and scouts,'27-2022,306.5,326.0,19.5,6.4,10.2,41.8,"45,920",Bachelor's degree,Adaptability,Speaking and listening,Interpersonal,OOH Content
"  Umpires, referees, and other sports officials",'27-2023,19.3,20.4,1.1,5.7,18.2,4.6,"38,820",High school diploma or equivalent,Adaptability,Detail oriented,Problem solving and decision making,OOH Content
  Dancers,'27-2031,12.3,12.9,0.6,4.5,25.4,1.8,—,No formal educational credential,Physical strength and stamina,Creativity and innovation,Adaptability,OOH Content
  Choreographers,'27-2032,4.6,4.9,0.3,6.1,24.3,0.7,"55,600",High school diploma or equivalent,Creativity and innovation,Leadership,Adaptability,OOH Content
  Music directors and composers,'27-2041,47.3,47.2,-0.1,-0.3,25.6,4.3,"63,670",Bachelor's degree,Creativity and innovation,Adaptability,Problem solving and decision making,OOH Content
  Musicians and singers,'27-2042,169.8,171.6,1.8,1.1,46.8,19.4,—,No formal educational credential,Creativity and innovation,Adaptability,Detail oriented,OOH Content
"  Disc jockeys, except radio[2]",'27-2091,15.4,16.0,0.6,3.8,46.9,1.5,—,High school diploma or equivalent,Speaking and listening,Adaptability,Writing and reading,OOH Content
"  Entertainers and performers, sports and related workers, all other[2]",'27-2099,35.8,38.0,2.1,6.0,56.2,4.4,—,No formal educational credential,Adaptability,Speaking and listening,Interpersonal,—
  Broadcast announcers and radio disc jockeys,'27-3011,24.1,22.8,-1.3,-5.5,—,2.3,"45,680",Bachelor's degree,Speaking and listening,Adaptability,Writing and reading,OOH Content
"  News analysts, reporters, and journalists",'27-3023,49.3,47.4,-1.9,-3.9,15.6,4.1,"60,280",Bachelor's degree,Adaptability,Writing and reading,Speaking and listening,OOH Content
  Public relations specialists,'27-3031,315.9,331.0,15.0,4.8,1.9,27.6,"69,780",Bachelor's degree,Speaking and listening,Adaptability,Writing and reading,OOH Content
  Editors,'27-3041,115.8,116.5,0.7,0.6,13.2,9.8,"75,260",Bachelor's degree,Writing and reading,Adaptability,Speaking and listening,OOH Content
  Technical writers,'27-3042,56.4,56.9,0.5,0.9,—,4.5,"91,670",Bachelor's degree,Writing and reading,Computers and information technology,Adaptability,OOH Content
  Writers and authors,'27-3043,135.4,140.3,4.9,3.6,62.9,13.4,"72,270",Bachelor's degree,Writing and reading,Adaptability,Speaking and listening,OOH Content
  Interpreters and translators,'27-3091,75.3,76.6,1.3,1.7,27.0,6.9,"59,440",Bachelor's degree,Writing and reading,Detail oriented,Adaptability,OOH Content
  Court reporters and simultaneous captioners,'27-3092,17.7,17.7,0.0,-0.3,25.6,1.7,"67,310",Postsecondary nondegree award,Adaptability,Detail oriented,Computers and information technology,OOH Content
"  Media and communication workers, all other[2]",'27-3099,34.3,35.3,0.9,2.7,26.7,3.0,"71,770",High school diploma or equivalent,Writing and reading,Adaptability,Speaking and listening,—
  Audio and video technicians,'27-4011,92.3,95.4,3.1,3.3,11.0,7.3,"54,830",Postsecondary nondegree award,Adaptability,Computers and information technology,Creativity and innovation,OOH Content
  Broadcast technicians,'27-4012,24.8,24.2,-0.7,-2.8,12.6,1.8,"53,920",Associate's degree,Computers and information technology,Adaptability,Detail oriented,OOH Content
  Sound engineering technicians,'27-4014,16.9,16.6,-0.3,-1.7,12.0,1.2,"66,430",Postsecondary nondegree award,Adaptability,Computers and information technology,Detail oriented,OOH Content
  Lighting technicians[2],'27-4015,12.1,11.5,-0.6,-4.6,13.1,0.8,"60,560",Postsecondary nondegree award,Detail oriented,Adaptability,Problem solving and decision making,OOH Content
  Photographers,'27-4021,151.2,154.0,2.8,1.8,66.3,12.7,"42,520",High school diploma or equivalent,Adaptability,Creativity and innovation,Customer service,OOH Content
"  Camera operators, television, video, and film",'27-4031,36.4,36.9,0.4,1.2,28.8,2.9,"68,810",Bachelor's degree,Detail oriented,Adaptability,Computers and information technology,OOH Content
  Film and video editors,'27-4032,43.5,45.2,1.7,4.0,29.3,3.6,"70,980",Bachelor's degree,Adaptability,Creativity and innovation,Computers and information technology,OOH Content
"  Media and communication equipment workers, all other[2]",'27-4099,15.1,15.2,0.1,0.6,8.5,1.1,"67,190",High school diploma or equivalent,Adaptability,Computers and information technology,Creativity and innovation,—
  Chiropractors,'29-1011,57.2,62.6,5.4,9.5,34.7,2.8,"79,000",Doctoral or professional degree,Adaptability,Interpersonal,Problem solving and decision making,OOH Content
"  Dentists, general",'29-1021,129.8,135.2,5.4,4.1,11.8,3.9,"172,790",Doctoral or professional degree,Detail oriented,Problem solving and decision making,Adaptability,OOH Content
  Oral and maxillofacial surgeons,'29-1022,6.1,6.4,0.3,4.1,11.9,0.2,">=$239,200",Doctoral or professional degree,Adaptability,Detail oriented,Problem solving and decision making,OOH Content
  Orthodontists,'29-1023,5.9,6.2,0.3,4.4,12.0,0.2,">=$239,200",Doctoral or professional degree,Adaptability,Problem solving and decision making,Interpersonal,OOH Content
  Prosthodontists,'29-1024,0.9,0.9,0.0,4.5,12.0,0.0,">=$239,200",Doctoral or professional degree,Detail oriented,Problem solving and decision making,Interpersonal,OOH Content
"  Dentists, all other specialists[2]",'29-1029,6.6,6.6,0.0,0.3,7.4,0.2,"225,770",Doctoral or professional degree,Detail oriented,Problem solving and decision making,Adaptability,OOH Content
  Dietitians and nutritionists,'29-1031,90.9,95.9,5.0,5.5,12.2,6.2,"73,850",Bachelor's degree,Interpersonal,Writing and reading,Adaptability,OOH Content
  Optometrists,'29-1041,47.8,51.6,3.8,8.0,11.5,2.4,"134,830",Doctoral or professional degree,Interpersonal,Writing and reading,Detail oriented,OOH Content
  Pharmacists,'29-1051,335.1,350.5,15.4,4.6,0.6,14.2,"137,480",Doctoral or professional degree,Detail oriented,Adaptability,Problem solving and decision making,OOH Content
  Physician assistants,'29-1071,162.7,195.8,33.2,20.4,1.5,12.0,"133,260",Master's degree,Adaptability,Interpersonal,Detail oriented,OOH Content
  Podiatrists,'29-1081,9.7,9.9,0.2,1.8,—,0.3,"152,800",Doctoral or professional degree,Problem solving and decision making,Adaptability,Detail oriented,OOH Content
  Occupational therapists,'29-1122,160.0,182.1,22.1,13.8,2.2,10.2,"98,340",Master's degree,Interpersonal,Adaptability,Writing and reading,OOH Content
  Physical therapists,'29-1123,267.2,296.4,29.3,10.9,4.5,13.2,"101,020",Doctoral or professional degree,Interpersonal,Adaptability,Problem solving and decision making,OOH Content
  Radiation therapists,'29-1124,19.2,19.6,0.4,1.9,—,0.9,"101,990",Associate's degree,Detail oriented,Adaptability,Interpersonal,OOH Content
  Recreational therapists,'29-1125,16.1,16.6,0.5,3.3,—,1.3,"60,280",Bachelor's degree,Interpersonal,Adaptability,Writing and reading,OOH Content
  Respiratory therapists,'29-1126,139.6,156.4,16.8,12.1,—,8.8,"80,450",Associate's degree,Adaptability,Detail oriented,Interpersonal,OOH Content
  Speech-language pathologists,'29-1127,187.4,215.5,28.2,15.0,3.3,13.3,"95,410",Master's degree,Adaptability,Interpersonal,Writing and reading,OOH Content
  Exercise physiologists,'29-1128,23.9,26.1,2.3,9.5,64.0,1.7,"58,160",Bachelor's degree,Interpersonal,Writing and reading,Adaptability,OOH Content
"  Therapists, all other[2]",'29-1129,56.1,62.5,6.4,11.5,63.3,4.1,"65,010",Bachelor's degree,Interpersonal,Adaptability,Problem solving and decision making,—
  Veterinarians,'29-1131,86.4,94.7,8.3,9.6,6.1,3.0,"125,510",Doctoral or professional degree,Adaptability,Problem solving and decision making,Detail oriented,OOH Content
