2024 National Employment Matrix title,2024 National Employment Matrix code,Occupation type,"Employment, 2024","Employment, 2034","Employment distribution, percent, 2024","Employment distribution, percent, 2034","Employment change, numeric, 2024–34","Employment change, percent, 2024–34","Percent self employed, 2024","Occupational openings, 2024–34 annual average","Median annual wage, dollars, 2024[1]",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation,Related Occupational Outlook Handbook (OOH) content xlsx,
"        Education teachers, postsecondary",'25-1081,Line item,74.9,76.5,0.0,0.0,1.6,2.1,0.3,5.6,"72,090",Doctoral or professional degree,Less than 5 years,None,OOH Content,
"        Library science teachers, postsecondary",'25-1082,Line item,5.1,5.3,0.0,0.0,0.2,3.0,—,0.4,"78,630",Doctoral or professional degree,None,None,OOH Content,
"      Law, criminal justice, and social work teachers, postsecondary",'25-1110,Summary,62.9,64.2,0.0,0.0,1.4,2.2,0.3,4.7,"87,870",—,—,—,—,
"        Criminal justice and law enforcement teachers, postsecondary",'25-1111,Line item,16.2,16.5,0.0,0.0,0.3,2.0,—,1.2,"71,470",Doctoral or professional degree,None,None,OOH Content,
"        Law teachers, postsecondary",'25-1112,Line item,29.5,30.2,0.0,0.0,0.6,2.2,0.3,2.2,"126,650",Doctoral or professional degree,Less than 5 years,None,OOH Content,
"        Social work teachers, postsecondary",'25-1113,Line item,17.1,17.5,0.0,0.0,0.4,2.3,—,1.3,"76,210",Doctoral or professional degree,None,None,OOH Content,
"      Arts, communications, history, and humanities teachers, postsecondary",'25-1120,Summary,309.2,312.1,0.2,0.2,2.9,0.9,0.3,22.4,"79,060",—,—,—,—,
"        Art, drama, and music teachers, postsecondary",'25-1121,Line item,122.8,124.8,0.1,0.1,2.1,1.7,0.4,9.0,"80,190",Master's degree,None,None,OOH Content,
"        Communications teachers, postsecondary",'25-1122,Line item,35.8,36.6,0.0,0.0,0.8,2.1,0.2,2.7,"77,800",Doctoral or professional degree,None,None,OOH Content,
"        English language and literature teachers, postsecondary",'25-1123,Line item,72.2,72.2,0.0,0.0,0.0,0.0,0.2,5.1,"78,270",Doctoral or professional degree,None,None,OOH Content,
"        Foreign language and literature teachers, postsecondary",'25-1124,Line item,26.4,26.4,0.0,0.0,0.0,-0.2,0.3,1.9,"77,010",Doctoral or professional degree,None,None,OOH Content,
"        History teachers, postsecondary",'25-1125,Line item,24.6,24.6,0.0,0.0,-0.1,-0.2,0.2,1.7,"81,500",Doctoral or professional degree,None,None,OOH Content,
"        Philosophy and religion teachers, postsecondary",'25-1126,Line item,27.3,27.5,0.0,0.0,0.2,0.7,0.5,2.0,"78,050",Doctoral or professional degree,None,None,OOH Content,
      Miscellaneous postsecondary teachers,'25-1190,Summary,324.2,328.9,0.2,0.2,4.7,1.4,0.3,23.7,"68,800",—,—,—,—,
"        Family and consumer sciences teachers, postsecondary",'25-1192,Line item,3.2,3.3,0.0,0.0,0.1,3.4,—,0.2,"77,280",Doctoral or professional degree,None,None,OOH Content,
"        Recreation and fitness studies teachers, postsecondary",'25-1193,Line item,15.4,15.7,0.0,0.0,0.4,2.4,—,1.1,"75,890",Doctoral or professional degree,None,None,OOH Content,
"        Career/technical education teachers, postsecondary",'25-1194,Line item,122.2,123.0,0.1,0.1,0.8,0.7,0.4,8.8,"61,490",Bachelor's degree,Less than 5 years,None,OOH Content,
"        Postsecondary teachers, all other",'25-1199,Line item,183.4,186.8,0.1,0.1,3.4,1.8,0.3,13.5,"78,490",Doctoral or professional degree,None,None,—,
"    Preschool, elementary, middle, secondary, and special education teachers",'25-2000,Summary,"4,500.1","4,453.2",2.6,2.5,-46.9,-1.0,0.4,320.9,"61,960",—,—,—,—,
      Preschool and kindergarten teachers,'25-2010,Summary,672.3,693.3,0.4,0.4,21.0,3.1,0.5,78.2,"40,090",—,—,—,—,
"        Preschool teachers, except special education",'25-2011,Line item,555.1,578.1,0.3,0.3,22.9,4.1,0.6,65.5,"37,120",Associate's degree,None,None,OOH Content,
"        Kindergarten teachers, except special education",'25-2012,Line item,117.2,115.2,0.1,0.1,-1.9,-1.6,0.1,12.8,"61,430",Bachelor's degree,None,None,OOH Content,
      Elementary and middle school teachers,'25-2020,Summary,"2,070.4","2,029.9",1.2,1.2,-40.6,-2.0,0.6,132.4,"62,500",—,—,—,—,
"        Elementary school teachers, except special education",'25-2021,Line item,"1,422.7","1,394.8",0.8,0.8,-27.9,-2.0,0.6,91.0,"62,340",Bachelor's degree,None,None,OOH Content,
"        Middle school teachers, except special and career/technical education",'25-2022,Line item,633.7,621.3,0.4,0.4,-12.4,-2.0,0.6,40.5,"62,970",Bachelor's degree,None,None,OOH Content,
"        Career/technical education teachers, middle school",'25-2023,Line item,14.0,13.8,0.0,0.0,-0.3,-2.0,—,0.9,"63,620",Bachelor's degree,Less than 5 years,None,OOH Content,
      Secondary school teachers,'25-2030,Summary,"1,197.9","1,178.2",0.7,0.7,-19.7,-1.6,0.0,72.4,"64,530",—,—,—,—,
"        Secondary school teachers, except special and career/technical education",'25-2031,Line item,"1,094.5","1,076.7",0.6,0.6,-17.8,-1.6,0.0,66.2,"64,580",Bachelor's degree,None,None,OOH Content,
"        Career/technical education teachers, secondary school",'25-2032,Line item,103.4,101.5,0.1,0.1,-1.9,-1.8,—,6.2,"63,910",Bachelor's degree,Less than 5 years,None,OOH Content,
      Special education teachers,'25-2050,Summary,559.5,551.8,0.3,0.3,-7.7,-1.4,0.5,37.8,"64,270",—,—,—,—,
"        Special education teachers, preschool",'25-2051,Line item,29.3,29.7,0.0,0.0,0.4,1.4,1.8,2.1,"62,190",Bachelor's degree,None,None,OOH Content,
"        Special education teachers, kindergarten and elementary school",'25-2052,Line item,230.2,226.1,0.1,0.1,-4.1,-1.8,0.3,15.4,"63,000",Bachelor's degree,None,None,OOH Content,
"        Special education teachers, middle school",'25-2057,Line item,94.8,93.0,0.1,0.1,-1.8,-1.9,0.3,6.3,"64,880",Bachelor's degree,None,None,OOH Content,
"        Special education teachers, secondary school",'25-2058,Line item,164.2,161.5,0.1,0.1,-2.6,-1.6,0.5,11.1,"69,590",Bachelor's degree,None,None,OOH Content,
"        Special education teachers, all other",'25-2059,Line item,41.0,41.5,0.0,0.0,0.4,1.1,1.6,2.9,"67,430",Bachelor's degree,None,None,OOH Content,
    Other teachers and instructors,'25-3000,Summary,"1,337.7","1,357.1",0.8,0.8,19.4,1.4,10.5,171.4,"44,220",—,—,—,—,
"      Adult basic education, adult secondary education, and english as a second language instructors",'25-3011,Line item,40.9,35.3,0.0,0.0,-5.6,-13.7,5.6,3.9,"59,950",Bachelor's degree,None,None,OOH Content,
      Self-enrichment teachers,'25-3021,Line item,417.5,433.0,0.2,0.2,15.5,3.7,16.8,51.4,"45,590",High school diploma or equivalent,Less than 5 years,None,—,
"      Substitute teachers, short-term",'25-3031,Line item,510.1,518.5,0.3,0.3,8.4,1.6,5.0,61.1,"38,470",Bachelor's degree,None,None,—,
      Tutors,'25-3041,Line item,215.5,216.8,0.1,0.1,1.3,0.6,13.7,37.1,"40,090","Some college, no degree",None,None,OOH Content,
"      Teachers and instructors, all other",'25-3099,Line item,153.8,153.5,0.1,0.1,-0.2,-0.1,8.6,18.0,"64,690",Bachelor's degree,None,None,—,
"    Librarians, curators, and archivists",'25-4000,Summary,260.8,260.1,0.2,0.1,-0.7,-0.3,2.3,31.2,"57,100",—,—,—,—,
"      Archivists, curators, and museum technicians",'25-4010,Summary,40.2,42.4,0.0,0.0,2.3,5.6,12.0,4.8,"57,100",—,—,—,—,
        Archivists,'25-4011,Line item,9.3,9.7,0.0,0.0,0.4,3.8,10.4,1.1,"61,570",Master's degree,None,None,OOH Content,
        Curators,'25-4012,Line item,15.1,16.2,0.0,0.0,1.1,7.0,13.1,1.8,"61,770",Master's degree,None,None,OOH Content,
        Museum technicians and conservators,'25-4013,Line item,15.7,16.5,0.0,0.0,0.8,5.4,12.0,1.9,"47,460",Bachelor's degree,None,None,OOH Content,
      Librarians and media collections specialists,'25-4022,Line item,142.1,144.5,0.1,0.1,2.4,1.7,0.9,13.5,"64,320",Master's degree,None,None,OOH Content,
      Library technicians,'25-4031,Line item,78.6,73.2,0.0,0.0,-5.4,-6.8,—,13.0,"39,970",Postsecondary nondegree award,None,None,OOH Content,
    Other educational instruction and library occupations,'25-9000,Summary,"1,993.3","1,982.9",1.2,1.1,-10.5,-0.5,0.6,230.4,"36,690",—,—,—,—,
      Farm and home management educators,'25-9021,Line item,12.4,12.1,0.0,0.0,-0.3,-2.5,0.7,1.1,"58,120",Master's degree,None,None,—,
      Instructional coordinators,'25-9031,Line item,232.6,235.5,0.1,0.1,2.9,1.3,3.3,21.9,"74,720",Master's degree,5 years or more,None,OOH Content,
      Teaching assistants,'25-9040,Summary,"1,616.3","1,601.3",1.0,0.9,-15.1,-0.9,0.1,195.0,"35,550",—,—,—,—,
"        Teaching assistants, postsecondary",'25-9044,Line item,193.6,199.6,0.1,0.1,6.0,3.1,0.1,24.6,"44,930",Bachelor's degree,None,None,—,
"        Teaching assistants, except postsecondary",'25-9045,Line item,"1,422.8","1,401.7",0.8,0.8,-21.1,-1.5,0.1,170.4,"35,240","Some college, no degree",None,None,OOH Content,
"      Educational instruction and library workers, all other",'25-9099,Line item,132.0,134.0,0.1,0.1,2.0,1.5,2.4,12.5,"48,400",Bachelor's degree,None,None,—,
"  Arts, design, entertainment, sports, and media occupations",'27-0000,Summary,"3,021.1","3,104.6",1.8,1.8,83.5,2.8,24.6,289.4,"60,140",—,—,—,—,
    Art and design workers,'27-1000,Summary,950.3,971.8,0.6,0.6,21.5,2.3,27.7,84.9,"53,180",—,—,—,—,
      Artists and related workers,'27-1010,Summary,244.2,250.8,0.1,0.1,6.7,2.7,60.8,21.7,"99,060",—,—,—,—,
        Art directors,'27-1011,Line item,135.0,140.7,0.1,0.1,5.7,4.2,61.9,12.3,"111,040",Bachelor's degree,5 years or more,None,OOH Content,
        Craft artists,'27-1012,Line item,11.6,11.9,0.0,0.0,0.2,2.1,62.6,1.0,"38,480",No formal educational credential,None,Long-term on-the-job training,OOH Content,
"        Fine artists, including painters, sculptors, and illustrators",'27-1013,Line item,26.5,26.2,0.0,0.0,-0.3,-1.2,61.6,2.2,"60,560",Bachelor's degree,None,Long-term on-the-job training,OOH Content,
        Special effects artists and animators,'27-1014,Line item,57.1,58.0,0.0,0.0,0.9,1.6,61.5,5.0,"99,800",Bachelor's degree,None,None,OOH Content,
"        Artists and related workers, all other",'27-1019,Line item,13.9,14.0,0.0,0.0,0.1,0.8,44.0,1.2,"72,760",No formal educational credential,None,Long-term on-the-job training,OOH Content,
      Designers,'27-1020,Summary,706.1,721.0,0.4,0.4,14.9,2.1,16.3,63.2,"49,020",—,—,—,—,
        Commercial and industrial designers,'27-1021,Line item,30.6,31.6,0.0,0.0,1.0,3.2,2.0,2.5,"79,450",Bachelor's degree,None,None,OOH Content,
        Fashion designers,'27-1022,Line item,25.7,26.2,0.0,0.0,0.5,2.0,20.0,2.3,"80,690",Bachelor's degree,None,None,OOH Content,
        Floral designers,'27-1023,Line item,43.8,41.2,0.0,0.0,-2.6,-5.9,10.7,5.1,"36,120",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
        Graphic designers,'27-1024,Line item,265.9,271.5,0.2,0.2,5.7,2.1,17.7,20.0,"61,300",Bachelor's degree,None,None,OOH Content,
        Interior designers,'27-1025,Line item,87.1,89.9,0.1,0.1,2.8,3.2,21.2,7.8,"63,490",Bachelor's degree,None,None,OOH Content,
        Merchandise displayers and window trimmers,'27-1026,Line item,193.0,199.3,0.1,0.1,6.2,3.2,0.1,20.8,"37,350",High school diploma or equivalent,None,Short-term on-the-job training,—,
        Set and exhibit designers,'27-1027,Line item,31.3,32.0,0.0,0.0,0.7,2.3,63.5,2.5,"66,280",Bachelor's degree,None,None,OOH Content,
"        Designers, all other",'27-1029,Line item,28.6,29.2,0.0,0.0,0.6,2.0,66.1,2.2,"66,220",Bachelor's degree,None,None,—,
"    Entertainers and performers, sports and related workers",'27-2000,Summary,854.1,889.4,0.5,0.5,35.3,4.1,22.4,99.7,"54,870",—,—,—,—,
"      Actors, producers, and directors",'27-2010,Summary,223.9,232.4,0.1,0.1,8.4,3.8,13.2,19.1,"78,000",—,—,—,—,
        Actors,'27-2011,Line item,57.0,57.1,0.0,0.0,0.2,0.3,27.9,6.3,—,"Some college, no degree",None,Long-term on-the-job training,OOH Content,
        Producers and directors,'27-2012,Line item,167.0,175.2,0.1,0.1,8.3,4.9,8.2,12.8,"83,480",Bachelor's degree,Less than 5 years,None,OOH Content,
"      Athletes, coaches, umpires, and related workers",'27-2020,Summary,344.9,366.6,0.2,0.2,21.7,6.3,11.3,48.5,"45,920",—,—,—,—,
        Athletes and sports competitors,'27-2021,Line item,19.1,20.2,0.0,0.0,1.0,5.5,20.7,2.1,"62,360",No formal educational credential,None,Long-term on-the-job training,OOH Content,
        Coaches and scouts,'27-2022,Line item,306.5,326.0,0.2,0.2,19.5,6.4,10.2,41.8,"45,920",Bachelor's degree,None,None,OOH Content,
"        Umpires, referees, and other sports officials",'27-2023,Line item,19.3,20.4,0.0,0.0,1.1,5.7,18.2,4.6,"38,820",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
      Dancers and choreographers,'27-2030,Summary,17.0,17.8,0.0,0.0,0.8,4.9,25.1,2.5,"51,020",—,—,—,—,
        Dancers,'27-2031,Line item,12.3,12.9,0.0,0.0,0.6,4.5,25.4,1.8,—,No formal educational credential,None,Long-term on-the-job training,OOH Content,
        Choreographers,'27-2032,Line item,4.6,4.9,0.0,0.0,0.3,6.1,24.3,0.7,"55,600",High school diploma or equivalent,5 years or more,Long-term on-the-job training,OOH Content,
"      Musicians, singers, and related workers",'27-2040,Summary,217.1,218.8,0.1,0.1,1.7,0.8,42.1,23.7,—,—,—,—,—,
        Music directors and composers,'27-2041,Line item,47.3,47.2,0.0,0.0,-0.1,-0.3,25.6,4.3,"63,670",Bachelor's degree,Less than 5 years,None,OOH Content,
        Musicians and singers,'27-2042,Line item,169.8,171.6,0.1,0.1,1.8,1.1,46.8,19.4,—,No formal educational credential,None,Long-term on-the-job training,OOH Content,
"      Miscellaneous entertainers and performers, sports and related workers",'27-2090,Summary,51.2,53.9,0.0,0.0,2.7,5.3,53.4,5.8,—,—,—,—,—,
"        Disc jockeys, except radio",'27-2091,Line item,15.4,16.0,0.0,0.0,0.6,3.8,46.9,1.5,—,High school diploma or equivalent,None,Short-term on-the-job training,OOH Content,
"        Entertainers and performers, sports and related workers, all other",'27-2099,Line item,35.8,38.0,0.0,0.0,2.1,6.0,56.2,4.4,—,No formal educational credential,None,Short-term on-the-job training,—,
    Media and communication workers,'27-3000,Summary,824.3,844.4,0.5,0.5,20.1,2.4,18.0,73.4,"70,300",—,—,—,—,
      Broadcast announcers and radio disc jockeys,'27-3011,Line item,24.1,22.8,0.0,0.0,-1.3,-5.5,—,2.3,"45,680",Bachelor's degree,None,None,OOH Content,
"      News analysts, reporters, and journalists",'27-3023,Line item,49.3,47.4,0.0,0.0,-1.9,-3.9,15.6,4.1,"60,280",Bachelor's degree,None,None,OOH Content,
      Public relations specialists,'27-3031,Line item,315.9,331.0,0.2,0.2,15.0,4.8,1.9,27.6,"69,780",Bachelor's degree,None,None,OOH Content,
      Writers and editors,'27-3040,Summary,307.6,313.7,0.2,0.2,6.1,2.0,32.6,27.7,"78,100",—,—,—,—,
        Editors,'27-3041,Line item,115.8,116.5,0.1,0.1,0.7,0.6,13.2,9.8,"75,260",Bachelor's degree,Less than 5 years,None,OOH Content,
        Technical writers,'27-3042,Line item,56.4,56.9,0.0,0.0,0.5,0.9,—,4.5,"91,670",Bachelor's degree,Less than 5 years,Short-term on-the-job training,OOH Content,
        Writers and authors,'27-3043,Line item,135.4,140.3,0.1,0.1,4.9,3.6,62.9,13.4,"72,270",Bachelor's degree,None,Long-term on-the-job training,OOH Content,
      Miscellaneous media and communication workers,'27-3090,Summary,127.4,129.5,0.1,0.1,2.2,1.7,26.7,11.6,"62,500",—,—,—,—,
        Interpreters and translators,'27-3091,Line item,75.3,76.6,0.0,0.0,1.3,1.7,27.0,6.9,"59,440",Bachelor's degree,None,None,OOH Content,
        Court reporters and simultaneous captioners,'27-3092,Line item,17.7,17.7,0.0,0.0,0.0,-0.3,25.6,1.7,"67,310",Postsecondary nondegree award,None,Short-term on-the-job training,OOH Content,
"        Media and communication workers, all other",'27-3099,Line item,34.3,35.3,0.0,0.0,0.9,2.7,26.7,3.0,"71,770",High school diploma or equivalent,None,Short-term on-the-job training,—,
    Media and communication equipment workers,'27-4000,Summary,392.3,398.9,0.2,0.2,6.6,1.7,36.1,31.4,"56,480",—,—,—,—,
"      Broadcast, sound, and lighting technicians",'27-4010,Summary,146.1,147.7,0.1,0.1,1.5,1.0,11.5,11.1,"56,600",—,—,—,—,
        Audio and video technicians,'27-4011,Line item,92.3,95.4,0.1,0.1,3.1,3.3,11.0,7.3,"54,830",Postsecondary nondegree award,None,Short-term on-the-job training,OOH Content,
        Broadcast technicians,'27-4012,Line item,24.8,24.2,0.0,0.0,-0.7,-2.8,12.6,1.8,"53,920",Associate's degree,None,Short-term on-the-job training,OOH Content,
        Sound engineering technicians,'27-4014,Line item,16.9,16.6,0.0,0.0,-0.3,-1.7,12.0,1.2,"66,430",Postsecondary nondegree award,None,Short-term on-the-job training,OOH Content,
        Lighting technicians,'27-4015,Line item,12.1,11.5,0.0,0.0,-0.6,-4.6,13.1,0.8,"60,560",Postsecondary nondegree award,None,Short-term on-the-job training,OOH Content,
      Photographers,'27-4021,Line item,151.2,154.0,0.1,0.1,2.8,1.8,66.3,12.7,"42,520",High school diploma or equivalent,None,Moderate-term on-the-job training,OOH Content,
"      Television, video, and film camera operators and editors",'27-4030,Summary,79.9,82.1,0.0,0.0,2.2,2.7,29.1,6.4,"70,570",—,—,—,—,
"        Camera operators, television, video, and film",'27-4031,Line item,36.4,36.9,0.0,0.0,0.4,1.2,28.8,2.9,"68,810",Bachelor's degree,None,None,OOH Content,
        Film and video editors,'27-4032,Line item,43.5,45.2,0.0,0.0,1.7,4.0,29.3,3.6,"70,980",Bachelor's degree,None,None,OOH Content,
"      Media and communication equipment workers, all other",'27-4099,Line item,15.1,15.2,0.0,0.0,0.1,0.6,8.5,1.1,"67,190",High school diploma or equivalent,None,Short-term on-the-job training,—,
  Healthcare practitioners and technical occupations,'29-0000,Summary,"10,067.5","10,794.4",5.9,6.2,726.9,7.2,2.4,634.9,"83,090",—,—,—,—,
    Healthcare diagnosing or treating practitioners,'29-1000,Summary,"6,715.1","7,241.6",4.0,4.1,526.4,7.8,3.1,363.3,"101,370",—,—,—,—,
      Chiropractors,'29-1011,Line item,57.2,62.6,0.0,0.0,5.4,9.5,34.7,2.8,"79,000",Doctoral or professional degree,None,None,OOH Content,
      Dentists,'29-1020,Summary,149.3,155.2,0.1,0.1,5.9,4.0,11.7,4.5,"179,210",—,—,—,—,
"        Dentists, general",'29-1021,Line item,129.8,135.2,0.1,0.1,5.4,4.1,11.8,3.9,"172,790",Doctoral or professional degree,None,None,OOH Content,
        Oral and maxillofacial surgeons,'29-1022,Line item,6.1,6.4,0.0,0.0,0.3,4.1,11.9,0.2,">=$239,200",Doctoral or professional degree,None,Internship/residency,OOH Content,
        Orthodontists,'29-1023,Line item,5.9,6.2,0.0,0.0,0.3,4.4,12.0,0.2,">=$239,200",Doctoral or professional degree,None,Internship/residency,OOH Content,
        Prosthodontists,'29-1024,Line item,0.9,0.9,0.0,0.0,0.0,4.5,12.0,0.0,">=$239,200",Doctoral or professional degree,None,Internship/residency,OOH Content,
"        Dentists, all other specialists",'29-1029,Line item,6.6,6.6,0.0,0.0,0.0,0.3,7.4,0.2,"225,770",Doctoral or professional degree,None,Internship/residency,OOH Content,
      Dietitians and nutritionists,'29-1031,Line item,90.9,95.9,0.1,0.1,5.0,5.5,12.2,6.2,"73,850",Bachelor's degree,None,Internship/residency,OOH Content,
      Optometrists,'29-1041,Line item,47.8,51.6,0.0,0.0,3.8,8.0,11.5,2.4,"134,830",Doctoral or professional degree,None,None,OOH Content,
      Pharmacists,'29-1051,Line item,335.1,350.5,0.2,0.2,15.4,4.6,0.6,14.2,"137,480",Doctoral or professional degree,None,None,OOH Content,
      Physician assistants,'29-1071,Line item,162.7,195.8,0.1,0.1,33.2,20.4,1.5,12.0,"133,260",Master's degree,None,None,OOH Content,
      Podiatrists,'29-1081,Line item,9.7,9.9,0.0,0.0,0.2,1.8,—,0.3,"152,800",Doctoral or professional degree,None,Internship/residency,OOH Content,
      Therapists,'29-1120,Summary,869.4,975.3,0.5,0.6,106.0,12.2,8.3,53.5,"95,010",—,—,—,—,
        Occupational therapists,'29-1122,Line item,160.0,182.1,0.1,0.1,22.1,13.8,2.2,10.2,"98,340",Master's degree,None,None,OOH Content,
        Physical therapists,'29-1123,Line item,267.2,296.4,0.2,0.2,29.3,10.9,4.5,13.2,"101,020",Doctoral or professional degree,None,None,OOH Content,
        Radiation therapists,'29-1124,Line item,19.2,19.6,0.0,0.0,0.4,1.9,—,0.9,"101,990",Associate's degree,None,None,OOH Content,
        Recreational therapists,'29-1125,Line item,16.1,16.6,0.0,0.0,0.5,3.3,—,1.3,"60,280",Bachelor's degree,None,None,OOH Content,
        Respiratory therapists,'29-1126,Line item,139.6,156.4,0.1,0.1,16.8,12.1,—,8.8,"80,450",Associate's degree,None,None,OOH Content,
        Speech-language pathologists,'29-1127,Line item,187.4,215.5,0.1,0.1,28.2,15.0,3.3,13.3,"95,410",Master's degree,None,Internship/residency,OOH Content,
        Exercise physiologists,'29-1128,Line item,23.9,26.1,0.0,0.0,2.3,9.5,64.0,1.7,"58,160",Bachelor's degree,None,None,OOH Content,
"        Therapists, all other",'29-1129,Line item,56.1,62.5,0.0,0.0,6.4,11.5,63.3,4.1,"65,010",Bachelor's degree,None,None,—,
      Veterinarians,'29-1131,Line item,86.4,94.7,0.1,0.1,8.3,9.6,6.1,3.0,"125,510",Doctoral or professional degree,None,None,OOH Content,
      Registered nurses,'29-1141,Line item,"3,391.0","3,557.1",2.0,2.0,166.1,4.9,0.5,189.1,"93,600",Bachelor's degree,None,None,OOH Content,
      Nurse anesthetists,'29-1151,Line item,53.8,58.5,0.0,0.0,4.6,8.6,3.9,2.7,"223,210",Master's degree,None,None,OOH Content,
      Nurse midwives,'29-1161,Line item,8.6,9.5,0.0,0.0,0.9,11.1,1.0,0.5,"128,790",Master's degree,None,None,OOH Content,
      Nurse practitioners,'29-1171,Line item,320.4,448.8,0.2,0.3,128.4,40.1,1.0,29.5,"129,210",Master's degree,None,None,OOH Content,
      Audiologists,'29-1181,Line item,15.8,17.3,0.0,0.0,1.5,9.5,4.4,0.7,"92,120",Doctoral or professional degree,None,None,OOH Content,
      Physicians,'29-1210,Summary,785.6,807.7,0.5,0.5,22.1,2.8,4.2,22.3,">=$239,200",—,—,—,—,
        Anesthesiologists,'29-1211,Line item,45.3,46.7,0.0,0.0,1.4,3.2,4.7,1.3,">=$239,200",Doctoral or professional degree,None,Internship/residency,OOH Content,
        Cardiologists,'29-1212,Line item,19.4,20.2,0.0,0.0,0.8,4.1,4.7,0.6,">=$239,200",Doctoral or professional degree,None,Internship/residency,OOH Content,
        Dermatologists,'29-1213,Line item,10.9,11.6,0.0,0.0,0.7,6.4,4.8,0.4,">=$239,200",Doctoral or professional degree,None,Internship/residency,OOH Content,
        Emergency medicine physicians,'29-1214,Line item,36.1,37.1,0.0,0.0,1.0,2.7,4.6,1.0,">=$239,200",Doctoral or professional degree,None,Internship/residency,OOH Content,
        Family medicine physicians,'29-1215,Line item,116.0,119.1,0.1,0.1,3.1,2.7,4.5,3.3,"238,380",Doctoral or professional degree,None,Internship/residency,OOH Content,
        General internal medicine physicians,'29-1216,Line item,73.2,75.6,0.0,0.0,2.4,3.3,4.3,2.1,"236,350",Doctoral or professional degree,None,Internship/residency,OOH Content,
        Neurologists,'29-1217,Line item,8.3,8.8,0.0,0.0,0.5,5.4,4.6,0.3,">=$239,200",Doctoral or professional degree,None,Internship/residency,OOH Content,
        Obstetricians and gynecologists,'29-1218,Line item,21.5,21.7,0.0,0.0,0.3,1.2,4.7,0.6,">=$239,200",Doctoral or professional degree,None,Internship/residency,OOH Content,
"        Pediatricians, general",'29-1221,Line item,46.4,46.8,0.0,0.0,0.4,0.8,4.6,1.2,"210,130",Doctoral or professional degree,None,Internship/residency,OOH Content,
"        Physicians, pathologists",'29-1222,Line item,12.6,13.1,0.0,0.0,0.5,4.2,4.5,0.4,">=$239,200",Doctoral or professional degree,None,Internship/residency,OOH Content,
        Psychiatrists,'29-1223,Line item,27.1,28.8,0.0,0.0,1.7,6.1,3.7,0.9,">=$239,200",Doctoral or professional degree,None,Internship/residency,OOH Content,
        Radiologists,'29-1224,Line item,28.2,29.0,0.0,0.0,0.8,2.7,4.7,0.8,">=$239,200",Doctoral or professional degree,None,Internship/residency,OOH Content,
"        Physicians, all other",'29-1229,Line item,340.7,349.3,0.2,0.2,8.6,2.5,3.9,9.6,">=$239,200",Doctoral or professional degree,None,Internship/residency,OOH Content,
      Surgeons,'29-1240,Summary,53.4,55.5,0.0,0.0,2.1,4.0,0.7,1.3,">=$239,200",—,—,—,—,
"        Ophthalmologists, except pediatric",'29-1241,Line item,12.5,13.1,0.0,0.0,0.5,4.3,0.7,0.3,">=$239,200",Doctoral or professional degree,None,Internship/residency,OOH Content,
"        Orthopedic surgeons, except pediatric",'29-1242,Line item,14.7,15.3,0.0,0.0,0.6,4.1,0.7,0.4,">=$239,200",Doctoral or professional degree,None,Internship/residency,OOH Content,
        Pediatric surgeons,'29-1243,Line item,1.1,1.1,0.0,0.0,0.0,1.5,—,0.0,">=$239,200",Doctoral or professional degree,None,Internship/residency,OOH Content,
"        Surgeons, all other",'29-1249,Line item,25.1,26.0,0.0,0.0,1.0,3.9,0.7,0.6,">=$239,200",Doctoral or professional degree,None,Internship/residency,OOH Content,
      Miscellaneous healthcare diagnosing or treating practitioners,'29-1290,Summary,278.3,295.7,0.2,0.2,17.4,6.3,5.8,18.5,"94,920",—,—,—,—,
        Acupuncturists,'29-1291,Line item,15.3,16.4,0.0,0.0,1.0,6.8,44.1,0.9,"78,140",Master's degree,None,None,—,
        Dental hygienists,'29-1292,Line item,221.6,237.2,0.1,0.1,15.5,7.0,0.5,15.3,"94,260",Associate's degree,None,None,OOH Content,
"        Healthcare diagnosing or treating practitioners, all other",'29-1299,Line item,41.3,42.2,0.0,0.0,0.8,2.0,20.3,2.4,"113,730",Master's degree,None,None,—,
    Health technologists and technicians,'29-2000,Summary,"3,205.6","3,393.0",1.9,1.9,187.4,5.8,0.6,261.4,"54,270",—,—,—,—,
      Clinical laboratory technologists and technicians,'29-2010,Line item,351.2,357.2,0.2,0.2,6.0,1.7,0.5,22.6,"61,890",Bachelor's degree,None,None,OOH Content,
      Diagnostic related technologists and technicians,'29-2030,Summary,451.5,478.8,0.3,0.3,27.3,6.1,2.4,26.1,"80,660",—,—,—,—,
        Cardiovascular technologists and technicians,'29-2031,Line item,64.7,66.6,0.0,0.0,1.9,3.0,3.7,3.8,"67,260",Associate's degree,None,None,OOH Content,
        Diagnostic medical sonographers,'29-2032,Line item,90.0,101.7,0.1,0.1,11.7,13.0,2.5,5.8,"89,340",Associate's degree,None,None,OOH Content,
        Nuclear medicine technologists,'29-2033,Line item,20.0,20.6,0.0,0.0,0.6,3.0,13.7,0.9,"97,020",Associate's degree,None,None,OOH Content,
        Radiologic technologists and technicians,'29-2034,Line item,228.0,237.8,0.1,0.1,9.8,4.3,0.4,12.9,"77,660",Associate's degree,None,None,OOH Content,
